State,District,Market,Variety of Product,Arrival Date ,Min Price,Max Price,Modal_Price,Max Temperature,Min Temperature,Humidity (in Percentage),Avg Rainfall (in mm)
Maharashtra,Ahmednagar,Ahmednagar,Other,Jan,300,600,500,28,18,72,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Jan,300,800,600,31,19,68,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Jan,100,500,400,29,16,64,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Jan,100,400,350,32,19,68,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Jan,400,800,600,28,16,65,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Jan,400,700,500,32,17,65,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Feb,300,700,600,32,12,91,3
Maharashtra,Ahmednagar,Ahmednagar,Other,Feb,400,600,500,30,13,57,3
Maharashtra,Ahmednagar,Ahmednagar,Other,Feb,200,500,400,28,18,86,3
Maharashtra,Ahmednagar,Ahmednagar,Other,Feb,100,500,300,5,13,19,3
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,200,400,300,38,19,29,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,200,500,350,36,16,49,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,200,400,300,36,21,39,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,200,400,300,36,17,55,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,100,400,250,35,17,51,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,100,400,250,36,16,49,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,100,400,250,34,16,59,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,100,500,300,37,17,58,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,100,500,300,38,16,43,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Mar,100,500,300,36,18,60,5
Maharashtra,Ahmednagar,Ahmednagar,Other,Apr,100,500,300,37,29,48,10
Maharashtra,Ahmednagar,Ahmednagar,Other,Apr,100,500,300,38,28,56,10
Maharashtra,Ahmednagar,Ahmednagar,Other,Apr,100,500,300,36,27,40,10
Maharashtra,Ahmednagar,Ahmednagar,Other,Apr,100,600,350,36,26,54,10
Maharashtra,Ahmednagar,Ahmednagar,Other,Apr,100,500,300,39,26,39,10
Maharashtra,Ahmednagar,Ahmednagar,Other,Apr,100,500,300,40,29,37,10
Maharashtra,Ahmednagar,Ahmednagar,Other,May,100,500,300,40,28,54,23
Maharashtra,Ahmednagar,Ahmednagar,Other,May,100,500,300,40,27,66,23
Maharashtra,Ahmednagar,Ahmednagar,Other,May,100,600,350,37,27,64,23
Maharashtra,Ahmednagar,Ahmednagar,Other,May,100,600,350,40,26,42,23
Maharashtra,Ahmednagar,Ahmednagar,Other,May,100,600,350,36,27,37,23
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,200,800,500,29,24,69,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,400,1200,800,27,26,63,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,300,1200,750,30,25,62,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,400,1200,800,30,24,76,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,500,1000,750,29,26,63,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,400,1000,700,31,24,85,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,400,1200,800,30,25,72,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,400,1400,900,29,25,94,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,500,1200,850,32,24,56,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,500,1300,900,30,26,66,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jun,700,2000,1350,29,27,88,132
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,400,1000,700,26,26,43,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,500,1400,950,25,24,66,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,500,2000,1250,27,25,63,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,800,2200,1500,27,24,45,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,500,1500,1000,28,26,41,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,1000,2600,1300,28,24,43,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,1000,2800,1900,26,25,39,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,1000,1800,1400,25,24,42,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,1000,1800,1400,26,26,35,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,500,1500,1000,28,25,65,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Jul,500,1800,1050,29,24,64,97
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,500,1300,900,24,26,75,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,500,1500,1000,27,26,87,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,400,1200,800,25,24,95,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,1000,600,28,24,104,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,1000,600,24,26,106,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,1000,600,26,24,97,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,300,1100,700,25,25,75,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,800,500,25,24,105,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,800,500,27,24,82,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,700,450,25,25,89,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,700,500,28,26,80,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,700,450,26,25,94,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Aug,200,700,450,27,24,94,69
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,200,700,450,31,26,61,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,200,700,450,31,26,98,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,200,600,400,30,25,73,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,200,600,400,30,25,83,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,200,600,400,29,27,65,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,100,500,300,27,26,62,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,100,700,400,29,28,61,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,100,500,300,30,26,70,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,100,600,350,28,28,84,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,100,600,350,28,28,91,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,100,600,350,28,26,86,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Sep,100,600,350,33,27,78,165
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,100,700,400,33,26,77,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,100,800,450,31,27,67,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,100,900,500,27,28,60,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,200,1100,650,34,26,73,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,200,900,550,31,26,75,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,200,1000,600,33,25,68,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,200,800,500,33,25,49,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,300,850,575,29,27,59,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Oct,200,800,500,34,28,76,56
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,900,550,29,27,51,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,800,500,28,25,40,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,900,550,28,27,76,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,600,400,28,25,77,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,800,500,30,25,68,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,1000,600,30,25,55,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,900,550,30,25,53,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,500,1500,1000,28,28,60,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,1000,600,29,26,45,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,900,550,29,28,51,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,800,500,31,25,41,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,800,500,29,26,53,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,1000,600,29,26,39,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Nov,200,1000,600,30,28,67,28
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,200,1100,650,26,18,40,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,200,800,500,25,15,61,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,300,1000,650,25,19,32,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,200,1000,600,25,16,36,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1200,800,27,13,55,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1000,700,25,19,40,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,200,1000,600,25,19,40,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,200,1000,600,27,19,44,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1200,800,27,19,69,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1600,1000,27,16,50,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1400,900,25,19,69,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1200,800,28,17,50,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1000,700,25,17,36,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,200,1000,600,27,14,61,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1500,950,28,13,72,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1500,950,27,17,50,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1500,950,27,20,58,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1600,1000,28,18,41,8
Maharashtra,Ahmednagar,Ahmednagar,Other,Dec,400,1500,950,26,14,65,8
